Movie Title,Burns,Canon attacks,Drowning,Exhaustion,Explosion,Falls,Gun wounds,Heart attacks,Impact,Poison,Stab wounds,Strangulation
"Attack, 1956",0,0,0,0,5,0,28,0,1,0,0,0
"Edge of the City, 1957",0,0,0,0,0,0,0,0,2,0,1,1
"Saint Joan, 1957",1,0,0,0,0,0,0,0,0,0,0,0
"The Pride and The Passion, 1957",0,6,0,0,0,0,4,0,0,0,0,0
"Cowboy, 1958",0,0,0,0,0,0,0,0,0,1,0,0
"Vertigo, 1958",0,0,0,0,0,2,0,0,0,0,0,0
"North by Northwest, 1959",0,0,0,0,0,2,1,0,0,0,0,0
"Psycho, 1960",0,0,0,0,0,1,0,0,1,0,3,0
"Spartacus, 1960",7,0,0,10,0,0,0,0,3,0,8,0
"The Victors, 1963",0,0,0,0,0,0,1,0,0,0,0,0
"Goodfellas, 1990",0,0,0,0,0,0,1,0,0,0,3,0
"Cape Fear, 1991",0,0,1,0,0,0,1,0,5,0,0,2
"Casino, 1995",0,0,0,0,4,0,10,1,4,0,4,1
